sample_id,domain,location,location_key,county,sample_date,compliant,bucket,norms_violation,violated_params,unmeasured_norm_params,n_measured_norm_params
369365,supluskoha,Pirita rand,pirita,Harju maakond,2025-09-22 00:00:00,0,hidden_violation,False,e_coli,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366810,supluskoha,Haabneeme rand,haabneeme,,2025-08-26 00:00:00,1,hidden_pass,True,,e_coli|enterococci|nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,0
367087,supluskoha,Nikerjärve rand,nikerjärve,,2025-08-25 00:00:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
367521,supluskoha,Kõrveküla paisjärv 1 (Pärna tn ääres),kõrveküla paisjärv 1 (pärna tn ääres),,2025-08-21 07:20:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366996,supluskoha,Haabneeme rand,haabneeme,,2025-08-21 00:00:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
367448,supluskoha,Anne kanal,anne kanal,Tartu maakond,2025-08-21 00:00:00,0,hidden_violation,False,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366605,supluskoha,Nikerjärve rand,nikerjärve,,2025-08-18 00:00:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366550,supluskoha,Alavere tiigid,alavere tiigid,,2025-08-15 00:00:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366717,supluskoha,Koosa paisjärve supluskoht,koosa paisjärve,,2025-08-14 09:35:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366552,supluskoha,Haabneeme rand,haabneeme,,2025-08-14 00:00:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366598,supluskoha,Kloogarand,kloogarand,,2025-08-14 00:00:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366667,supluskoha,Kõrveküla paisjärv 2 (Hariduse tn ääres),kõrveküla paisjärv 2 (hariduse tn ääres),,2025-08-13 09:50:00,0,hidden_violation,False,e_coli,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
365826,supluskoha,Luunja jõesadama puhkeala supluskoht,luunja jõesadama puhkeala,,2025-08-13 00:00:00,0,hidden_violation,False,e_coli|enterococci,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
365830,supluskoha,Põltsamaa jõel Kamari paisjärve supluskoht,põltsamaa jõel kamari paisjärve,,2025-08-13 00:00:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366565,supluskoha,Otiaru paisjärv,otiaru paisjärv,,2025-08-13 00:00:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366662,supluskoha,Anne kanal,anne kanal,Tartu maakond,2025-08-13 00:00:00,0,hidden_violation,False,e_coli|enterococci,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366664,supluskoha,Emajõe Linnaujula,emajõe linnaujula,,2025-08-13 00:00:00,0,hidden_violation,False,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366663,supluskoha,Anne kanal,anne kanal,Tartu maakond,2025-08-13 00:00:00,0,hidden_violation,False,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366665,supluskoha,Emajõe Vabaujula,emajõe vabaujula,,2025-08-13 00:00:00,0,hidden_violation,False,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366440,supluskoha,Porijõgi / Reola jõgi supluskoht,porijõgi / reola jõgi,,2025-08-12 09:40:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366331,supluskoha,Türi tehisjärv,türi tehisjärv,,2025-08-12 00:00:00,0,hidden_violation,False,enterococci,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366539,supluskoha,Sillamäe supluskoht,sillamäe,,2025-08-12 00:00:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366866,supluskoha,Suure-Jaani paisjärv,suure jaani paisjärv,,2025-08-12 00:00:00,0,hidden_violation,False,enterococci,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
365793,supluskoha,Haabneeme rand,haabneeme,,2025-08-11 00:00:00,1,hidden_pass,True,,e_coli|enterococci|nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,0
366261,supluskoha,Randvere rand,randvere,,2025-08-11 00:00:00,0,hidden_violation,False,enterococci,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366273,supluskoha,Alavere tiigid,alavere tiigid,,2025-08-11 00:00:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366329,supluskoha,Vana-Pärnu rand,vana pärnu,,2025-08-11 00:00:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
365961,supluskoha,Paide tehisjärv,paide tehisjärv,,2025-08-06 00:00:00,0,hidden_violation,False,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
365962,supluskoha,Leetse rand,leetse,,2025-08-06 00:00:00,0,hidden_violation,False,enterococci,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
365963,supluskoha,Laulasmaa rand,laulasmaa,,2025-08-06 00:00:00,0,hidden_violation,False,enterococci,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366038,supluskoha,Türi tehisjärv,türi tehisjärv,,2025-08-06 00:00:00,0,hidden_violation,False,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
366041,supluskoha,Vana-Pärnu rand,vana pärnu,,2025-08-06 00:00:00,1,hidden_pass,True,,nitrates|nitrites|ammonium|fluoride|manganese|iron|turbidity|color|chlorides|sulfates|ph,2
